PO Number,Order Date,Requested Delivery Date,Customer Name,Vendor Name,Sold To ID,Sales Org,Order Type,SO Rule,Ship To ID,Ship To Name,Customer Number,Material Description,Quantity,Unit,Delivery Date,Internal Material Code,Extracted Material Code,Source File
issued,,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,,2000,kg,,0000016552,901-11D6-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
issued,,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,,1000,kg,,0000047206,901-59P9-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
issued,,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,,1000,kg,,0000061262,901-84P9-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
issued,,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,,1000,kg,,0000061457,901-40R2-002,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457).pdf
issued,,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,,1000,kg,,0000061026,901-42R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
issued,,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,,1000,kg,,0000060900,901-44R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
issued,,,FOXCONN (KUNSHAN) COMPUTER CONNECTO,Envalior B.V.,4020010339,2730,TA,X,4020010498,FOXCONN (KUNSHAN) COMPUTER CONNECTO,4020010339,,1000,kg,,0000060993,901-51R2-002,FOXCONN (Sold-to 4020010339 - Materials 61026+60900+60993).pdf
