message_id,subject,received_date,status,error_log,created_at,updated_at,source_file,so_number,block_code,block_reason,stage,conversation_id,attachments,sender_email
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoFgAAAA==,FW: Megrendelés - 4800013671 // FOR TESTING,2026-06-12T12:15:14Z,PENDING_STAGE2,,2026-06-12 12:56:31,2026-07-10 08:05:33,envalior-2026-04-13_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoGAAAAA==,FW: new order EB022692 - Arnite TV4 261/A mit 30% Glasfasern // FOR TESTING,2026-06-12T12:15:15Z,PENDING_STAGE2,,2026-06-12 12:56:27,2026-07-10 08:05:33,doc010626-01062026071456_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoGgAAAA==,FW: Durethan BKV 30 FN04 901510 - for TESTING,2026-06-12T12:15:15Z,ROBONA_SENT,,2026-06-12 12:56:23,2026-07-16 09:32:46,4500029652 envalior_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoHAAAAA==,FW: VO-2026-311-000149 / FOR TESTING,2026-06-12T12:15:18Z,ROBONA_SENT,,2026-06-12 12:56:18,2026-07-27 12:16:23,vo-2026-311-000149_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoHgAAAA==,FW: BAP SK/ PO 4500090003 FOR TESTING,2026-06-12T12:15:19Z,ROBONA_SENT,,2026-06-12 12:56:14,2026-07-16 09:32:43,po 4500090003_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoIAAAAA==,FW: Yeni sipariş: 1002134183  // FOR TESTING,2026-06-12T12:15:20Z,ROBONA_SENT,,2026-06-12 12:56:10,2026-07-16 09:32:40,po_1002134183_aqmkagez.pdf,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoIgAAAA==,FW: FOR TESTING WG: Bestellung BE-26-00858; 1519728; 1519731; 1519732; 1519733; 1519734; 1519736; 1519738; 1519739; 1519740; 1519742 SO# BE-26-00858,2026-06-12T12:15:22Z,ROBONA_SENT,,2026-06-12 12:56:06,2026-07-27 12:16:18,body_aqmkagez_fw_ for testing wg_ bestellung be-26-00858; 1519728; 1519731; 1519732; 1519733; .txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoJAAAAA==,FW: Bestellung BE-26-00587; 1506404; 1506403 SO# BE-26-00587,2026-06-12T12:15:23Z,ROBONA_SENT,,2026-06-12 12:56:03,2026-07-20 10:52:46,body_aqmkagez_fw_ bestellung be-26-00587; 1506404; 1506403 so# be-26-00587.txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoJgAAAA==,FW: Touchless orders - benötige PO Kopien (möglichst heute),2026-06-12T12:15:26Z,PENDING_STAGE2,,2026-06-12 12:56:00,2026-07-10 08:05:33,body_aqmkagez_fw_ touchless orders - benötige po kopien (möglichst heute).txt,,,,1,,,
AQMkAGEzNTJjNTY1LTAxZjctNGU1My04ZDFkLTBkMTJlZGE0YTUzMwAARgAAA7uoljtkkkFPkg-v2f9HSP8HAInUDOdnT_5Gsb7k011QeAAAAwEJAAAAidQM52dP7kaxvuTTXVB4AAABYlqoKAAAAA==,FW: Touchless orders - benötige PO Kopien (möglichst heute),2026-06-12T12:15:26Z,PENDING_STAGE2,,2026-06-12 12:55:56,2026-07-10 08:05:33,body_aqmkagez_fw_ touchless orders - benötige po kopien (möglichst heute).txt,,,,1,,,
